t=514889 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.67,-2.58) | IMU2 a=(9.82,0.55,78.45
t=515009 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.68,-2.58) | IMU2 a=(9.83,0.54,78.45
t=515129 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.67,-2.56) | IMU2 a=(9.82,0.56,78.45
t=515249 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.67,-2.56) | IMU2 a=(9.80,0.54,78.45
t=515369 | GPS=OK Fix=1 | Lat=-35.28 Lng=149.12 Alt=588.40 Spd=0.00 | IMU1 a=(10.19,-0.67,-2.56) | IMU2 a=(9.83,0.57,78.45
t=515489 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.68,-2.59) | IMU2 a=(9.83,0.56,78.45
t=515609 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.66,-2.57) | IMU2 a=(9.81,0.54,78.45
t=515729 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.69,-2.59) | IMU2 a=(9.82,0.54,78.45
t=515849 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.19,-0.68,-2.56) | IMU2 a=(9.84,0.56,78.45
t=515969 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.21,-0.67,-2.59) | IMU2 a=(9.82,0.54,78.45
t=516089 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.22,-0.68,-2.56) | IMU2 a=(9.82,0.56,78.45
t=516209 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.66,-2.58) | IMU2 a=(9.83,0.54,78.45
t=516329 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.68,-2.58) | IMU2 a=(9.81,0.55,78.45
t=516449 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.67,-2.58) | IMU2 a=(9.82,0.57,78.45
t=516569 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.20,-0.67,-2.55) | IMU2 a=(9.81,0.53,78.45
t=516689 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.20,-0.66,-2.54) | IMU2 a=(9.81,0.56,78.45
t=516809 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.18,-0.68,-2.58) | IMU2 a=(9.83,0.55,78.45
t=516929 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.20,-0.68,-2.57) | IMU2 a=(9.81,0.54,78.45
t=517049 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.16,-0.69,-2.58) | IMU2 a=(9.84,0.54,78.45
t=517169 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.67,-2.59) | IMU2 a=(9.83,0.54,78.45
t=517289 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.19,-0.66,-2.58) | IMU2 a=(9.81,0.54,78.45
t=517409 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.19,-0.68,-2.55) | IMU2 a=(9.83,0.55,78.45
t=517529 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.19,-0.68,-2.58) | IMU2 a=(9.82,0.54,78.45
t=517649 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.19,-0.67,-2.57) | IMU2 a=(9.83,0.54,78.45
t=517769 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.21,-0.66,-2.60) | IMU2 a=(9.81,0.56,78.45
t=517889 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.19,-0.67,-2.57) | IMU2 a=(9.82,0.56,78.45
